FULL LOG
FILENAME                       | EXPECTED     | DETECTED     | STATUS
112.jpg                        | SH9337C      | JH9337C      | FAIL
79.jpg                         | STA7824C     | STA7824C     | OK
94.jpg                         | SB262FF      | SB262FF      | OK
116.jpg                        | SO0773X      | 3X           | FAIL
73.jpg                         | STA43629     | STA43629     | OK
140.jpg                        | SH7788A      | SH7788A      | OK
33.jpg                         | SK713VL      | SK713VL      | OK
101.jpg                        | STA0461C     | OA61C        | FAIL
77.jpg                         | SG986CN      | SG986CN      | OK
63.jpg                         | STA4470C     | STA4470C     | OK
183.jpg                        | SGLWF71      | SGLWF71      | OK
115.jpg                        | CRY4R84      | RY4254       | FAIL
11.jpg                         | SL83861      | SL83861      | OK
17.jpg                         | SCZ26114     | SCZ26114     | OK
122.jpg                        | KTTRJ07      | KTTRJ07      | OK
59.jpg                         | SZ9991L      | SZ9991L      | OK
130.jpg                        | SK807WM      | SK807WM      | OK
149.jpg                        | ST8055V      | ST8055V      | OK
144.jpg                        | STA1392C     | STA1392      | FAIL
1.jpg                          | SCZ26114     | SCZ26114     | OK
27.jpg                         | STA0211F     | STA0211F     | OK
51.jpg                         | SM3726E      | SM3726E      | OK
65.jpg                         | SGLVN42      | SGLVNA2      | FAIL
53.jpg                         | STACU30      | STACU30      | OK
95.jpg                         | SBL66094     | SBL66094     | OK
52.jpg                         | SJ99531      | SJ99531      | OK
147.jpg                        | SK145YT      | SK145YT      | OK
