OCR FULL LOG
FILENAME                       | EXPECTED     | DETECTED     | STATUS
55.jpg                         | SK3694W      | SK3694H      | FAIL
154.jpg                        | SG2947W      | SG2947W      | OK
24.jpg                         | KR3UH61      | KR3UH61      | OK
37.jpg                         | SBE9327E     | SBE9327E     | OK
135.jpg                        | SG0580W      | SG0580W      | OK
78.jpg                         | SL3985H      | SL3985H      | OK
186.jpg                        | STA67KF      | STA67KF      | OK
61.jpg                         | SK654TK      | SK654TK      | OK
108.jpg                        | SW58471      | SW5847       | FAIL
39.jpg                         | SMI19778     | SMI19778     | OK
144.jpg                        | STA1392C     | STA1392      | FAIL
99.jpg                         | CB441ML      | CB441ML      | OK
109.jpg                        | SW58471      | SW58471      | OK
90.jpg                         | SM3726E      | SM3726E      | OK
62.jpg                         | SPS97077     | SPS97077     | OK
30.jpg                         | SZO6KU4      | SZO6KU4      | OK
146.jpg                        | SK289PU      | SK289PU      | OK
48.jpg                         | SO2048H      | SO2048H      | OK
49.jpg                         | SC5423W      | SC5423W      | OK
43.jpg                         | SK321LN      | SK321LN      | OK
115.jpg                        | CRY4R84      | CRY254       | FAIL
71.jpg                         | SD5421J      | SD5421J      | OK
107.jpg                        | SH4831C      | SH4831C      | OK
52.jpg                         | SJ99531      | SJ99531      | OK
189.jpg                        | SG0575J      | SG0575J      | OK
36.jpg                         | STA97759     | STA97759     | OK
148.jpg                        | SO68659      | SO68659      | OK
161.jpg                        | WBR6P58      | WBR6P58      | OK
129.jpg                        | SBE3218G     | SBE3218G     | OK
117.jpg                        | SK8843W      | SK8843W      | OK
141.jpg                        | S7JM7        | S7JM7        | OK
104.jpg                        | SJZJN07      | SJZJN07      | OK
77.jpg                         | SG986CN      | SG986CN      | OK
147.jpg                        | SK145YT      | SK145YT      | OK
86.jpg                         | SK776ST      | SK776ST      | OK
35.jpg                         | L45H         | LA5H         | FAIL
178.jpg                        | SR7916L      | SR7916L      | OK
182.jpg                        | STA2L80      | STA2L80      | OK
26.jpg                         | ST2232L      | ST2232L      | OK
180.jpg                        | SJ4104C      | SJ4104C      | OK
191.jpg                        | KOL21767     | KOL21767     | OK
152.jpg                        | STA7109C     | STA7109C     | OK
123.jpg                        | SK1067S      | SK10675      | FAIL
42.jpg                         | SCI91903     | SCI91903     | OK
25.jpg                         | SB3320U      | SB3320U      | OK
176.jpg                        | ST7736G      | ST7736G      | OK
79.jpg                         | STA7824C     | STA7824C     | OK
188.jpg                        | SGLTK91      | SGLTK91      | OK
122.jpg                        | KTTRJ07      | KTTRJ07      | OK
136.jpg                        | SZ95471      | SZ95471      | OK
70.jpg                         | SG7428J      | SG7428J      | OK
44.jpg                         | NEL28529     | NEL28529     | OK
18.jpg                         | SL3458H      | SL3458H      | OK
97.jpg                         | CB441ML      | CB441ML      | OK
119.jpg                        | SO6321W      | SO6          | FAIL
163.jpg                        | SK988PP      | SK988PP      | OK
40.jpg                         | SBL58012     | SBL58012     | OK
183.jpg                        | SGLWF71      | SGLWF71      | OK
59.jpg                         | SZ9991L      | SZ9991L      | OK
5.jpg                          | SRB9NP9      | SRB9NP9      | OK
103.jpg                        | SJZJN07      | SJZJN07      | OK
145.jpg                        | SO7183K      | SO7183K      | OK
2.jpg                          | SK028SE      | SK028SE      | OK
10.jpg                         | SK404XK      | SK40XK       | FAIL
113.jpg                        | SBL63894     | SBL63894     | OK
22.jpg                         | SK971JF      | SK971JF      | OK
133.jpg                        | SW60961      | SW60961      | OK
6.jpg                          | SLU1VG6      | SLU1V66      | FAIL
168.jpg                        | SG9892X      | SG9892X      | OK
157.jpg                        | SB983FF      | SB983FF      | OK
110.jpg                        | SLU7XA8      | SLULU        | FAIL
69.jpg                         | SK340TX      | SK340TX      | OK
126.jpg                        | SJ7749E      | SJ7749E      | OK
45.jpg                         | SI87877      | SI87877      | OK
151.jpg                        | SG287AT      | SG2874T      | FAIL
33.jpg                         | SK713VL      | SK713VL      | OK
134.jpg                        | ST2105K      | ST2105K      | OK
106.jpg                        | SH9264A      | SH9264A      | OK
46.jpg                         | SO8910X      | SO8910X      | OK
54.jpg                         | SZY71327     | SZY71327     | OK
190.jpg                        | SPI16111     | SPI16111     | OK
12.jpg                         | SK293VV      | SK1          | FAIL
38.jpg                         | SZ9068J      | SZ9068J      | OK
171.jpg                        | SCI2827J     | SCI2827J     | OK
68.jpg                         | STA02220     | STA02220     | OK
160.jpg                        | SC3222P      | SC3222P      | OK
172.jpg                        | SZA7964E     | SZA7964E     | OK
